Time,"Vx Velocity,km/s","Vy Velocity, km/s","Vz Velocity, km/s","Wind, Xgse,Re"
1464739200,,,,
1464742800,,,,
1464746400,,,,
1464750000,,,,
1464753600,,,,
1464757200,,,,
1464760800,,,,
1464764400,,,,
1464768000,,,,
1464771600,,,,
1464775200,,,,
1464778800,,,,
1464782400,,,,
1464786000,,,,
1464789600,,,,
1464793200,,,,
1464796800,,,,
1464800400,,,,
1464804000,,,,
1464807600,,,,
1464811200,,,,
1464814800,,,,
1464818400,,,,
1464822000,,,,
1464825600,,,,
1464829200,,,,
1464832800,,,,
1464836400,,,,
1464840000,,,,
1464843600,,,,
1464847200,,,,
1464850800,,,,
1464854400,,,,
1464858000,,,,
1464861600,,,,
1464865200,,,,
1464868800,,,,
1464872400,,,,
1464876000,,,,
1464879600,,,,
1464883200,,,,
1464886800,,,,
1464890400,,,,
1464894000,,,,
1464897600,,,,
1464901200,,,,
1464904800,,,,
1464908400,,,,
1464912000,,,,
1464915600,,,,
1464919200,,,,
1464922800,,,,
1464926400,,,,
1464930000,,,,
1464933600,,,,
1464937200,,,,
1464940800,,,,
1464944400,,,,
1464948000,,,,
1464951600,,,,
1464955200,,,,
1464958800,,,,
1464962400,,,,
1464966000,,,,
1464969600,,,,
1464973200,,,,
1464976800,,,,
1464980400,,,,
1464984000,,,,
1464987600,,,,
1464991200,,,,
1464994800,,,,
1464998400,-305.3,-16.0,3.9,225.69
1465002000,-307.4,-17.7,1.3,225.69
1465005600,-303.2,-17.0,3.3,225.7
1465009200,-301.7,-17.9,3.3,225.71
1465012800,-303.6,-20.7,0.8,225.72
1465016400,-300.9,-15.9,0.6,225.74
1465020000,-301.2,-18.2,6.1,225.75
1465023600,-303.5,-16.2,9.0,225.76
1465027200,-303.5,-16.7,10.3,225.78
1465030800,-302.4,-13.0,7.0,225.78
1465034400,-300.0,-14.0,5.7,225.79
1465038000,-290.4,-9.1,9.3,225.8
1465041600,-287.8,-15.8,4.0,225.81
1465045200,-284.0,-13.3,1.7,225.83
1465048800,-287.0,-21.1,0.0,225.84
1465052400,-289.2,-15.9,-5.7,225.86
1465056000,-287.4,-16.7,-8.7,225.87
1465059600,-292.8,-20.6,-6.3,225.87
1465063200,-295.0,-27.1,1.5,225.88
1465066800,-295.8,-25.8,6.1,225.89
1465070400,-298.8,-27.4,2.3,225.9
1465074000,-295.1,-31.1,-2.7,225.91
1465077600,-316.9,-41.7,-3.2,225.93
1465081200,-317.4,-42.1,-1.7,225.94
1465084800,-312.6,-42.1,-0.1,225.94
1465088400,-305.6,-45.1,-9.9,225.95
1465092000,-311.5,-35.3,-4.4,225.97
1465095600,-316.7,-46.6,1.4,225.98
1465099200,-317.5,-48.7,6.5,225.99
1465102800,-322.0,-47.1,11.3,226.0
1465106400,-326.2,-46.7,25.2,226.01
1465110000,-331.9,-53.9,17.9,226.03
1465113600,-336.1,-47.0,15.8,226.03
1465117200,-359.4,-36.0,1.7,226.04
1465120800,-381.3,-39.0,-2.4,226.05
1465124400,-379.8,-43.4,2.7,226.06
1465128000,-400.1,-33.8,5.7,226.07
1465131600,-408.2,-36.1,5.2,226.09
1465135200,-471.6,-2.0,-9.5,226.09
1465138800,-490.5,27.3,-0.6,226.11
1465142400,-527.0,31.9,-25.8,226.12
1465146000,-541.6,32.0,-36.1,226.12
1465149600,-557.6,51.7,-29.3,226.13
1465153200,-567.5,59.1,-18.7,226.14
1465156800,-573.7,47.6,-13.9,226.15
1465160400,-580.9,39.0,-9.6,226.16
1465164000,-580.6,40.5,-8.4,226.16
1465167600,-573.4,28.1,-23.5,226.18
1465171200,-568.2,19.7,-28.5,226.19
1465174800,-568.1,18.0,-35.0,226.19
1465178400,-612.8,18.2,-39.9,226.2
1465182000,-621.5,21.6,-33.8,226.21
1465185600,-613.5,19.7,-36.3,226.22
1465189200,-612.2,15.7,-28.5,226.23
1465192800,-596.5,30.4,-36.7,226.24
1465196400,-574.2,42.0,-14.6,226.25
1465200000,-568.3,45.0,-23.2,226.26
1465203600,-565.2,37.5,-24.8,226.28
1465207200,-565.4,37.0,10.0,226.28
1465210800,-573.3,31.7,-10.5,226.29
1465214400,-566.8,46.4,-13.2,226.29
1465218000,-556.2,38.0,-0.9,226.3
1465221600,-533.9,13.3,-3.8,226.31
1465225200,-510.4,10.7,-4.2,226.32
1465228800,-524.4,1.1,-13.5,226.34
1465232400,-494.8,-32.0,-7.9,226.34
1465236000,-476.1,-27.6,12.0,226.36
1465239600,-492.6,-22.9,-4.8,226.36
1465243200,-514.1,8.8,-17.9,226.37
1465246800,-507.3,3.5,-12.6,226.37
1465250400,-495.9,-0.5,-6.3,226.38
1465254000,-493.9,4.5,-19.1,226.39
1465257600,-490.68571428571425,2.407142857142857,-15.214285714285715,226.39785714285713
1465261200,-487.47142857142853,0.31428571428571406,-11.32857142857143,226.40571428571428
1465264800,-484.2571428571428,-1.7785714285714285,-7.442857142857145,226.41357142857143
