Time,vx,vy,vz,x,y,z,Bx,By,Bz
1537340430.0,-443.1312804222107,4.463265683501959,-33.5546570122242,1486441.359375,264262.0,-132617.640625,3.5896249413490295,-0.835999995470047,-1.3481249660253525
1537340490.0,-445.0266032218933,6.82028117030859,-26.164391309022903,1486442.296875,264262.0,-132616.703125,3.448499917984009,-0.6504999846220016,-1.4373750239610672
1537340550.0,-445.66810178756714,8.357312329113483,-27.908140540122986,1486443.234375,264261.765625,-132615.53125,3.5186250507831573,-0.4506249986588955,-1.4957500100135803
1537340610.0,-445.5562941233317,7.089598789811134,-31.80969754854838,1486444.34375,264261.0,-132613.828125,3.380874991416931,-0.6771249994635582,-1.5327500253915787
1537340670.0,-445.44448645909625,5.821885250508785,-35.71125455697378,1486446.109375,264260.890625,-132612.78125,3.360250025987625,-0.6172500252723694,-1.640250027179718
1537340730.0,-445.33267879486084,4.554171711206436,-39.61281156539917,1486447.046875,264260.0,-132610.953125,3.3509999215602875,-0.4581250175833702,-1.6464999914169312
1537340790.0,-445.32609844207764,4.277609139680862,-40.029061794281006,1486447.984375,264260.0,-132610.015625,3.3157500624656677,-0.7361250147223473,-1.3232499957084656
1537340850.0,-444.3239336013794,7.301359437406063,-28.46831324696541,1486448.921875,264259.078125,-132608.15625,3.2852499186992645,-0.6868749931454659,-1.3596250116825104
1537340910.0,-441.5964250564575,3.897921908646822,-38.88503137230873,1486450.71875,264259.0,-132607.140625,3.287500023841858,-0.6742499843239784,-1.5537499636411667
1537340970.0,-440.2101492881775,6.477734465152025,-32.1628757417202,1486451.796875,264258.203125,-132605.40625,3.2648749947547913,-0.4479999914765358,-1.5366249680519104
1537341030.0,-439.6534309387207,3.1439218893647194,-39.54657754302025,1486452.734375,264258.0,-132604.265625,3.290999948978424,-0.4860000051558018,-1.6353749781847
1537341090.0,-438.70754623413086,1.687999987974763,-43.62376511096954,1486453.671875,264258.0,-132602.65625,3.443374902009964,-0.46037499234080315,-1.4961249977350235
1537341150.0,-439.8646569252014,4.358562594279647,-37.87290585041046,1486455.21875,264257.390625,-132601.390625,3.5594999194145203,-0.4254999868571758,-1.348750039935112
1537341210.0,-439.672634601593,4.383015725761652,-36.58837419748306,1486456.546875,264257.0,-132599.90625,3.483624905347824,-0.5296250134706497,-1.3344999700784683
1537341270.0,-440.1836037635803,2.4660937525331974,-35.26503109931946,1486457.484375,264256.515625,-132598.515625,3.379125088453293,-1.0007500350475311,-1.3798750191926956
1537341330.0,-440.35760259628296,2.317968726158142,-34.5725936293602,1486458.84375,264256.0,-132597.15625,3.4568750858306885,-0.4807499945163727,-1.375875011086464
1537341390.0,-440.6128568649292,2.8937500230968,-39.923374712467194,1486460.359375,264255.640625,-132595.640625,3.584500014781952,-0.640249989926815,-1.391125038266182
1537341450.0,-443.5231647491455,3.6809218786656857,-39.38659518957138,1486461.296875,264255.0,-132594.703125,3.6271249055862427,-0.5841249972581863,-1.3803750276565552
1537341510.0,-440.61338996887207,4.678187418729067,-34.30698484182358,1486462.234375,264254.765625,-132593.53125,3.5427500009536743,-0.5381250083446503,-1.3241250216960907
1537341570.0,-439.3565511703491,2.696890566498041,-37.49890521168709,1486463.34375,264254.0,-132591.828125,3.478249967098236,-0.5770000144839287,-1.3588749766349792
1537341630.0,-440.8271780014038,5.902593651786447,-31.44240567088127,1486465.109375,264254.0,-132590.78125,3.4238750338554382,-0.7255000025033951,-1.4106249809265137
1537341690.0,-439.4369282722473,1.6544531271792948,-36.46403193473816,1486466.046875,264253.953125,-132588.953125,3.5381250381469727,-0.7286249995231628,-1.4033750146627426
1537341750.0,-440.9153618812561,0.30351561354473233,-41.88465476036072,1486466.984375,264253.015625,-132588.015625,3.5085000097751617,-0.731500007212162,-1.4203750044107437
1537341810.0,-442.74135541915894,2.232609375845641,-32.16071906685829,1486467.921875,264253.0,-132586.15625,3.433374911546707,-1.1632500141859055,-1.2630000412464142
1537341870.0,-444.4426078796387,3.339874964207411,-36.30478087067604,1486469.71875,264252.140625,-132585.140625,3.5378749072551727,-1.0706249922513962,-1.3057499676942825
1537341930.0,-445.82916831970215,6.412953168153763,-31.55601590871811,1486470.796875,264252.0,-132583.40625,3.560250073671341,-1.1127500087022781,-1.2184999734163284
1537341990.0,-446.258261680603,7.1371719762682915,-29.67607882618904,1486471.734375,264251.265625,-132582.265625,3.5474999248981476,-1.073875054717064,-1.1782499998807907
1537342050.0,-446.42455101013184,5.454343892633915,-33.673281997442245,1486473.34375,264251.0,-132580.65625,3.5800000429153442,-0.8398750126361847,-1.3008749783039093
1537342110.0,-444.122709274292,5.8888750076293945,-28.914907038211823,1486474.609375,264250.390625,-132579.390625,3.5864999890327454,-0.7960000187158585,-1.2644999772310257
1537342170.0,-444.40147066116333,4.519812475889921,-32.858735382556915,1486475.546875,264250.0,-132577.90625,3.7102499306201935,-0.8148749843239784,-1.2806249856948853
1537342230.0,-445.40257120132446,3.869421858340502,-33.83576583862305,1486476.484375,264250.0,-132576.515625,3.652000069618225,-0.8055000007152557,-1.327749952673912
1537342290.0,-445.47034740448,4.580843690782785,-27.229202955961227,1486477.421875,264249.578125,-132575.15625,3.686374992132187,-0.9100000187754631,-1.2847499549388885
1537342350.0,-444.8794541358948,3.1358124632388353,-29.682671755552292,1486478.71875,264249.0,-132573.640625,3.4829999804496765,-1.011749967932701,-1.214625045657158
1537342410.0,-443.38450288772583,2.8744062799960375,-31.789389580488205,1486480.296875,264248.703125,-132572.40625,3.5701249539852142,-0.9917500093579292,-1.3043749928474426
1537342470.0,-445.3748092651367,4.629640702158213,-26.71587499976158,1486481.234375,264248.0,-132570.765625,3.5596249103546143,-1.0133750140666962,-1.2935000211000443
1537342530.0,-444.4862985610962,2.4412499219179153,-32.868640065193176,1486482.34375,264247.828125,-132569.65625,3.6602499783039093,-1.0121249854564667,-1.217500016093254
1537342590.0,-444.55816864967346,2.381824171403423,-32.91571407020092,1486484.109375,264247.0,-132567.890625,3.600250005722046,-1.0036249682307243,-1.308249980211258
