Time,vx,vy,vz,x,y,z,Bx,By,Bz
1537340430.0,-442.1451873779297,-22.08086395263672,-35.39256286621094,1443788.5077145,-215492.784036,26671.847663499997,3.009255528450012,-0.7130141854286194,-1.554406464099884
1537340490.0,-442.2668326956327,-22.114369408029024,-34.14553720442975,1443786.1196365,-215489.5574815,26676.059471,2.920165538787842,-0.5214285552501678,-1.706274151802063
1537340550.0,-442.2650146484375,-22.96458339691162,-34.22859573364258,1443783.7316245,-215486.3308705,26680.27126,2.7776490449905396,-1.0831803679466248,-1.5858837366104126
1537340610.0,-442.9678674916752,-24.012659166680006,-34.01554682997406,1443781.343678,-215483.1042035,26684.483031,2.9297670125961304,-1.009387880563736,-1.5594983100891113
1537340670.0,-443.0909118652344,-24.954286575317383,-34.003156661987305,1443778.9557965002,-215479.8774805,26688.6947835,2.940084934234619,-0.9741108119487762,-1.5374334454536438
1537340730.0,-442.68651784261067,-25.366226291656496,-34.23194090525309,1443776.5679805,-215476.650701,26692.9065175,2.8771477937698364,-1.1998146772384644,-1.389323890209198
1537340790.0,-442.34063720703125,-25.612878705634447,-33.56762307589172,1443774.1802305002,-215473.42386550002,26697.118233499998,2.9047192335128784,-0.9028735458850861,-1.532019853591919
1537340850.0,-442.2018072409708,-25.204098560771005,-33.0427782652808,1443771.7925459999,-215470.19697400002,26701.329931,3.061745524406433,-0.8097889721393585,-1.3647333979606628
1537340910.0,-441.31439208984375,-24.743529319763184,-33.694318771362305,1443769.404927,-215466.9700255,26705.54161,3.261999487876892,-0.7401491701602936,-1.1394168138504028
1537340970.0,-439.86692403157554,-22.6857240041097,-33.089869085947676,1443767.017374,-215463.743021,26709.753271,3.3493762016296387,-0.38256967067718506,-1.3063688278198242
1537341030.0,-439.281017866291,-22.303803365738666,-31.40385546449755,1443764.6298865,-215460.5159605,26713.964914,3.2785688638687134,-0.4596661627292633,-1.1684200167655945
1537341090.0,-438.88903708536117,-23.377132540843526,-31.719718964373477,1443762.242464,-215457.2888435,26718.1765385,3.3466577529907227,-0.3022463917732239,-1.0437976717948914
1537341150.0,-438.9625701904297,-23.25278949737549,-31.391728401184082,1443759.8551075,-215454.06167,26722.388144,3.3045735359191895,-0.3207477182149887,-1.0450828671455383
1537341210.0,-439.33194834391276,-23.602376397450765,-30.99818181991577,1443757.467817,-215450.83444,26726.5997315,3.319411277770996,-0.3543643653392792,-1.1117616891860962
1537341270.0,-439.3419694744173,-22.66078270458784,-32.09443264320249,1443755.0805915,-215447.607154,26730.811301,3.326101064682007,-0.4422461688518524,-1.0536316633224487
1537341330.0,-439.4698731469326,-22.531018898135326,-32.47393185975122,1443752.693432,-215444.379812,26735.022852000002,3.2913930416107178,-0.5539625585079193,-1.1839759945869446
1537341390.0,-439.8920669555664,-23.664369169871012,-31.901393381754556,1443750.3063385,-215441.1524135,26739.2343845,3.319775700569153,-0.49079158902168274,-1.1733943819999695
1537341450.0,-440.32958984375,-25.048126220703125,-32.66090393066406,1443747.91931,-215437.92495850002,26743.445898500002,3.3231929540634155,-0.2243916243314743,-1.5512868762016296
1537341510.0,-440.11957987800974,-25.773197830700482,-32.07424367060427,1443745.5323474999,-215434.69744750002,26747.6573945,3.3197762966156006,-0.2591443955898285,-1.498339056968689
1537341570.0,-439.67909115650616,-25.23688172512367,-30.669611790141122,1443743.145451,-215431.4698805,26751.8688725,3.3237292766571045,-0.9076758325099945,-0.827976256608963
1537341630.0,-439.74477335611977,-25.211024284362793,-31.000727717081705,1443740.75862,-215428.242257,26756.080331999998,3.3241188526153564,-0.7747575640678406,-0.8537595570087433
1537341690.0,-439.5317687988281,-25.637404441833496,-30.589699745178223,1443738.3718545,-215425.014577,26760.2917725,3.2388393878936768,-0.7127957046031952,-0.9906588494777679
1537341750.0,-439.47673409884095,-25.86723940489722,-29.67548204640873,1443735.9851545,-215421.78684050002,26764.503194999998,3.3048511743545532,-0.6452536284923553,-0.9103121757507324
1537341810.0,-439.80519829421746,-25.403562326900296,-29.50814128312908,1443733.5985205001,-215418.55904750002,26768.7145995,3.357113242149353,-0.6609683632850647,-1.0277379751205444
1537341870.0,-439.95760854085285,-25.43170379002889,-28.76902329126994,1443731.2119525,-215415.3311985,26772.9259855,3.323416829109192,-0.6984764039516449,-0.9819542765617371
1537341930.0,-440.12591552734375,-25.643850326538086,-29.275367736816406,1443728.8254505,-215412.1032935,26777.137353,3.198972463607788,-0.7179584205150604,-0.8716763257980347
1537341990.0,-441.2319145827997,-24.42722924029241,-32.417724046550816,1443726.439014,-215408.875332,26781.348702,3.412754535675049,-0.6653809249401093,-1.1737728714942932
1537342050.0,-441.6677703857422,-23.762248039245605,-34.744524002075195,1443724.0526430001,-215405.647314,26785.560033,3.4570881128311157,-0.5705205500125885,-1.0465741753578186
1537342110.0,-440.3712833592149,-23.672861505727298,-33.67114264066102,1443721.666338,-215402.4192395,26789.771345499998,3.485140085220337,-0.5361167192459106,-1.1306565403938293
1537342170.0,-439.3830108642578,-24.69604206085205,-32.65742492675781,1443719.2800989999,-215399.1911085,26793.9826395,3.4419314861297607,-0.40669989585876465,-1.1486724615097046
1537342230.0,-438.9569992315574,-25.473460306886768,-32.648223720613075,1443716.893926,-215395.9629215,26798.193915,3.41371750831604,-0.4575023502111435,-1.147540807723999
1537342290.0,-438.8853759765625,-25.991971015930176,-31.449569702148438,1443714.5078185,-215392.73467799998,26802.4051725,3.335611581802368,-0.5641481876373291,-1.1539300680160522
1537342350.0,-438.78244468814034,-26.139520551337572,-30.789964300687195,1443712.1217764998,-215389.5063785,26806.616412,3.289210557937622,-0.5558893382549286,-1.2096500396728516
1537342410.0,-438.32403564453125,-25.66821575164795,-31.17456817626953,1443709.7358005,-215386.2780225,26810.8276325,3.2121541500091553,-0.5410028100013733,-1.2496525049209595
